id,instance,goal,result,duration,verdict,corr_result
264,aba_5000_0.1_5_5_2.aba,532,,600.0,TIMEOUT,NO
265,aba_5000_0.3_10_5_9.aba,4169,,600.0,TIMEOUT,YES
266,aba_2000_0.3_5_5_3.aba,1898,,600.0,TIMEOUT,NO
267,aba_500_0.1_10_10_2.aba,336,,600.0,TIMEOUT,YES
268,aba_5000_0.1_5_10_3.aba,2670,NO,3.68,inc,YES
269,aba_100_0.3_5_10_5.aba,7,YES,2.34,corr,YES
270,aba_2000_0.1_5_5_2.aba,1934,,600.0,TIMEOUT,NO
271,aba_5000_0.3_10_5_5.aba,3966,,600.0,TIMEOUT,YES
272,aba_100_0.3_5_10_1.aba,1,YES,5.08,corr,YES
273,aba_25_0.1_5_5_7.aba,15,NO,1.18,inc,YES
274,aba_2000_0.1_5_5_6.aba,532,NO,1.98,corr,NO
275,aba_2000_0.3_5_10_8.aba,145,,600.0,TIMEOUT,YES
276,aba_25_0.1_5_10_3.aba,2,YES,0.59,corr,YES
277,aba_500_0.3_10_10_4.aba,126,,600.0,TIMEOUT,NO
278,aba_2000_0.1_5_5_0.aba,114,,600.0,TIMEOUT,YES
279,aba_100_0.3_5_10_4.aba,20,YES,2.19,corr,YES
280,aba_5000_0.3_5_5_0.aba,4221,,600.0,TIMEOUT,?
281,aba_25_0.3_10_10_3.aba,25,NO,1.03,corr,NO
282,aba_500_0.3_5_5_1.aba,181,,600.0,TIMEOUT,NO
283,aba_5000_0.1_5_10_1.aba,241,,600.0,TIMEOUT,YES
284,aba_500_0.1_10_5_1.aba,361,,600.0,TIMEOUT,NO
285,aba_500_0.3_10_5_3.aba,400,,600.0,TIMEOUT,YES
286,aba_100_0.1_10_10_4.aba,7,YES,3.7,corr,YES
287,aba_2000_0.1_10_5_7.aba,1901,,600.0,TIMEOUT,YES
288,aba_500_0.3_10_5_6.aba,327,,600.0,TIMEOUT,YES
289,aba_5000_0.1_10_10_6.aba,704,,600.0,TIMEOUT,YES
290,aba_500_0.3_5_5_2.aba,227,,600.0,TIMEOUT,YES
291,aba_100_0.3_10_5_6.aba,86,,600.0,TIMEOUT,NO
292,aba_100_0.3_10_10_8.aba,1,YES,3.61,corr,YES
293,aba_25_0.3_10_5_2.aba,11,NO,1.3,inc,YES
294,aba_2000_0.1_10_10_3.aba,82,,600.0,TIMEOUT,NO
295,aba_500_0.1_10_5_7.aba,310,,600.0,TIMEOUT,NO
296,aba_100_0.1_5_5_5.aba,4,YES,2.16,corr,YES
297,aba_25_0.1_5_5_1.aba,1,NO,0.6,corr,NO
298,aba_2000_0.3_10_5_9.aba,1306,NO,3.12,corr,NO
299,aba_100_0.1_10_10_9.aba,6,YES,3.7,corr,YES
300,aba_100_0.3_10_5_4.aba,25,,600.0,TIMEOUT,YES
301,aba_2000_0.1_10_10_8.aba,44,,600.0,TIMEOUT,YES
302,aba_5000_0.1_10_10_1.aba,4062,,600.0,TIMEOUT,YES
303,aba_25_0.3_5_5_8.aba,16,NO,0.78,corr,NO
304,aba_100_0.1_5_5_6.aba,62,,600.0,TIMEOUT,NO
305,aba_25_0.1_5_10_1.aba,11,NO,0.7,inc,YES
306,aba_100_0.3_5_5_0.aba,90,NO,0.78,corr,NO
307,aba_2000_0.3_5_10_9.aba,1374,,600.0,TIMEOUT,NO
308,aba_5000_0.1_10_5_4.aba,1536,NO,4.07,inc,YES
309,aba_100_0.1_10_10_2.aba,14,,600.0,TIMEOUT,NO
310,aba_2000_0.1_10_10_0.aba,175,,600.0,TIMEOUT,YES
311,aba_2000_0.3_10_5_8.aba,721,,600.0,TIMEOUT,NO
312,aba_25_0.1_5_5_0.aba,2,YES,0.74,corr,YES
313,aba_2000_0.1_5_5_5.aba,1463,,600.0,TIMEOUT,YES
314,aba_25_0.3_10_5_7.aba,17,NO,1.93,corr,NO
315,aba_500_0.1_10_10_5.aba,355,YES,56.21,corr,YES
316,aba_2000_0.3_10_10_2.aba,1507,NO,3.52,corr,NO
317,aba_2000_0.1_10_10_9.aba,1730,,600.0,TIMEOUT,YES
318,aba_500_0.1_10_10_9.aba,460,,600.0,TIMEOUT,NO
319,aba_500_0.3_5_10_9.aba,44,YES,26.89,corr,YES
320,aba_25_0.1_5_5_6.aba,1,YES,0.83,corr,YES
321,aba_500_0.3_10_10_8.aba,445,,600.0,TIMEOUT,NO
322,aba_100_0.1_10_5_4.aba,26,,600.0,TIMEOUT,NO
323,aba_500_0.1_10_5_6.aba,298,,600.0,TIMEOUT,NO
324,aba_2000_0.1_10_5_2.aba,418,,600.0,TIMEOUT,YES
325,aba_5000_0.3_10_10_2.aba,2403,,600.0,TIMEOUT,?
326,aba_5000_0.3_10_10_7.aba,1675,,600.0,TIMEOUT,?
327,aba_5000_0.1_10_10_9.aba,141,,600.0,TIMEOUT,YES
328,aba_500_0.1_5_10_0.aba,99,,600.0,TIMEOUT,NO
329,aba_100_0.1_5_10_6.aba,86,,600.0,TIMEOUT,YES
330,aba_500_0.3_5_10_7.aba,44,,600.0,TIMEOUT,NO
331,aba_2000_0.3_10_5_4.aba,1500,,600.0,TIMEOUT,YES
332,aba_500_0.3_5_5_0.aba,391,,600.0,TIMEOUT,NO
333,aba_100_0.3_10_10_5.aba,66,,600.0,TIMEOUT,YES
334,aba_5000_0.1_10_10_8.aba,983,,600.0,TIMEOUT,YES
335,aba_500_0.3_10_10_1.aba,342,,600.0,TIMEOUT,NO
336,aba_2000_0.1_10_10_6.aba,1652,,600.0,TIMEOUT,YES
337,aba_500_0.3_5_5_7.aba,421,NO,1.28,corr,NO
338,aba_2000_0.1_10_10_1.aba,1614,,600.0,TIMEOUT,NO
339,aba_2000_0.1_10_10_2.aba,193,,600.0,TIMEOUT,YES
340,aba_500_0.3_5_10_6.aba,402,,600.0,TIMEOUT,NO
341,aba_5000_0.1_5_5_6.aba,519,,600.0,TIMEOUT,YES
342,aba_5000_0.1_5_5_8.aba,2777,NO,3.3,MISSING,?
343,aba_100_0.3_10_10_6.aba,74,,600.0,TIMEOUT,NO
344,aba_2000_0.1_10_10_7.aba,169,,600.0,TIMEOUT,YES
345,aba_500_0.1_5_5_8.aba,29,,600.0,TIMEOUT,YES
346,aba_25_0.3_5_10_6.aba,8,YES,0.93,corr,YES
347,aba_5000_0.3_5_5_9.aba,4902,,600.0,TIMEOUT,?
348,aba_500_0.1_5_10_9.aba,454,,600.0,TIMEOUT,NO
349,aba_5000_0.1_10_5_5.aba,3305,,600.0,TIMEOUT,YES
350,aba_100_0.1_10_5_9.aba,71,,600.0,TIMEOUT,NO
351,aba_100_0.1_5_10_3.aba,9,YES,2.2,corr,YES
352,aba_5000_0.1_5_10_9.aba,26,,600.0,TIMEOUT,YES
353,aba_100_0.3_5_10_0.aba,68,NO,2.58,inc,YES
354,aba_5000_0.3_10_5_2.aba,4355,,600.0,TIMEOUT,YES
355,aba_25_0.3_10_10_7.aba,9,NO,0.71,corr,NO
356,aba_500_0.1_5_5_5.aba,373,,600.0,TIMEOUT,NO
357,aba_2000_0.3_10_10_1.aba,909,,600.0,TIMEOUT,NO
358,aba_5000_0.1_10_10_5.aba,1316,,600.0,TIMEOUT,YES
359,aba_2000_0.3_10_10_0.aba,1942,NO,3.22,corr,NO
360,aba_2000_0.1_5_5_3.aba,1856,,600.0,TIMEOUT,YES
361,aba_2000_0.3_5_10_0.aba,252,,600.0,TIMEOUT,NO
362,aba_5000_0.3_10_10_4.aba,1040,,600.0,TIMEOUT,?
363,aba_2000_0.3_5_5_7.aba,825,NO,6.05,corr,NO
364,aba_500_0.1_10_10_4.aba,241,YES,65.58,corr,YES
365,aba_25_0.3_5_5_9.aba,2,NO,0.97,corr,NO
366,aba_100_0.1_10_5_7.aba,48,,600.0,TIMEOUT,YES
367,aba_25_0.1_5_5_2.aba,14,YES,7.03,corr,YES
368,aba_25_0.1_5_5_3.aba,1,YES,0.82,corr,YES
369,aba_500_0.3_10_10_9.aba,164,,600.0,TIMEOUT,NO
370,aba_100_0.3_5_10_9.aba,15,NO,1.9,corr,NO
371,aba_5000_0.3_10_5_7.aba,1952,,600.0,TIMEOUT,YES
372,aba_5000_0.1_10_10_2.aba,2987,,600.0,TIMEOUT,YES
373,aba_25_0.3_10_10_9.aba,9,NO,1.0,corr,NO
374,aba_5000_0.1_10_5_1.aba,3347,,600.0,TIMEOUT,YES
375,aba_100_0.3_5_10_8.aba,20,YES,2.39,corr,YES
376,aba_25_0.3_5_10_8.aba,25,NO,0.74,corr,NO
377,aba_100_0.3_10_5_7.aba,67,,600.0,TIMEOUT,YES
